startTime,endTime
11/1/2015 17:33:00,11/4/2015 19:42:00
11/5/2015 11:06:00,11/9/2015 1:23:00
11/9/2015 12:20:00,11/9/2015 19:27:00
11/10/2015 12:43:00,11/13/2015 0:38:00
11/13/2015 9:10:00,11/15/2015 16:35:00
11/17/2015 12:14:00,11/23/2015 18:41:00
11/24/2015 1:24:00,11/24/2015 2:39:00
11/24/2015 10:49:00,11/24/2015 12:12:00
11/25/2015 18:00:00,11/25/2015 18:56:00
11/26/2015 10:10:00,11/28/2015 2:16:00
11/28/2015 11:52:00,11/29/2015 2:30:00
11/29/2015 11:48:00,11/29/2015 14:36:00
11/30/2015 10:11:00,11/30/2015 13:08:00
12/1/2015 1:09:00,12/1/2015 18:59:00
